@relation 'allresults-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,2'

@attribute k numeric
@attribute accuracy numeric
@attribute tp numeric
@attribute fp numeric
@attribute tn numeric
@attribute precision numeric
@attribute f1 numeric
@attribute name {EuclideanDistance,ChebyshevDistance,ManhattanDistance,MinkowskiDistance05,MinkowskiDistance075,MinkowskiDistance3,MinkowskiDistance4,CanberraDistance,MeanAbsoluteError1,SumOfSquaredDifference,RodriguesDistance05,RodriguesDistance075,RodriguesDistance1,RodriguesDistance2,RodriguesDistance3,RodriguesDistance4}

@data
5,0.860119,0.623489,0.022621,0.977379,?,?,MinkowskiDistance05
4,0.728972,0.697265,0.064108,0.935892,0.733295,0.707156,MinkowskiDistance05
15,0.74183,0.559753,0.440247,0.559753,0.649588,0.552623,MinkowskiDistance05
7,0.75,0.520147,0.160317,0.839683,?,?,MinkowskiDistance05
1,0.712121,0.696732,0.155531,0.844469,0.764524,0.716182,MinkowskiDistance05
33,0.818519,0.8075,0.1925,0.8075,0.826954,0.811804,MinkowskiDistance05
1,0.920228,0.894127,0.105873,0.894127,0.93497,0.909469,MinkowskiDistance05
13,0.966667,0.966667,0.016667,0.983333,0.966787,0.966663,MinkowskiDistance05
1,1,1,0,1,1,1,MinkowskiDistance05
3,0.9466,0.946352,0.002136,0.997864,0.946678,0.94644,MinkowskiDistance05
5,0.9545,0.9545,0.005056,0.994944,0.954482,0.954432,MinkowskiDistance05
7,0.832,0.832,0.018667,0.981333,0.835933,0.832502,MinkowskiDistance05
3,0.9715,0.9715,0.003167,0.996833,0.971861,0.971465,MinkowskiDistance05
8,0.6145,0.6145,0.042833,0.957167,0.613997,0.610421,MinkowskiDistance05
7,0.977,0.977,0.002556,0.997444,0.977295,0.976955,MinkowskiDistance05
14,0.824,0.824,0.019556,0.980444,0.821632,0.822285,MinkowskiDistance05
4,0.979715,0.97963,0.002256,0.997744,0.980293,0.979732,MinkowskiDistance05
5,0.961813,0.732786,0.05103,0.94897,0.836531,0.772675,MinkowskiDistance05
1,0.991994,0.992031,0.00089,0.99911,0.99207,0.992044,MinkowskiDistance05
1,0.975758,0.975758,0.00404,0.99596,0.97587,0.975719,MinkowskiDistance05
1,0.846154,0.842853,0.157147,0.842853,0.848551,0.844413,MinkowskiDistance05
7,0.893284,0.881081,0.118919,0.881081,0.89414,0.886511,MinkowskiDistance05
5,0.802974,0.707307,0.292693,0.707307,0.699379,0.703134,MinkowskiDistance05
5,0.75,0.75,0.25,0.75,0.833333,0.733333,MinkowskiDistance05
15,0.919786,0.560853,0.439147,0.560853,0.714481,0.584136,MinkowskiDistance05
5,0.7125,0.7125,0.2875,0.7125,0.737596,0.704702,MinkowskiDistance05
1,0.635762,0.635636,0.181972,0.818028,0.636246,0.635401,MinkowskiDistance05
6,0.706856,0.710395,0.097929,0.902071,0.690904,0.696936,MinkowskiDistance05
47,0.8512,0.851953,0.074298,0.925702,0.853919,0.850098,MinkowskiDistance05
17,0.921348,0.924319,0.039601,0.960399,0.919605,0.921482,MinkowskiDistance05
68,0.912,0.659722,0.054402,0.945598,?,?,MinkowskiDistance075
49,0.545146,0.520759,0.233759,0.766241,0.536005,0.52171,MinkowskiDistance075
21,0.761719,0.712254,0.287746,0.712254,0.743446,0.721774,MinkowskiDistance075
9,0.863095,0.629758,0.022353,0.977647,?,?,MinkowskiDistance075
1,0.724299,0.699103,0.063141,0.936859,0.704588,0.699798,MinkowskiDistance075
11,0.761438,0.612593,0.387407,0.612593,0.692857,0.624009,MinkowskiDistance075
7,0.75,0.520147,0.160317,0.839683,?,?,MinkowskiDistance075
1,0.719697,0.707843,0.151416,0.848584,0.76971,0.726876,MinkowskiDistance075
13,0.774074,0.765833,0.234167,0.765833,0.774354,0.768195,MinkowskiDistance075
1,0.917379,0.890159,0.109841,0.890159,0.933018,0.906026,MinkowskiDistance075
23,0.973333,0.973333,0.013333,0.986667,0.973333,0.973333,MinkowskiDistance075
1,1,1,0,1,1,1,MinkowskiDistance075
4,0.95365,0.953426,0.001854,0.998146,0.953695,0.953489,MinkowskiDistance075
3,0.9515,0.9515,0.005389,0.994611,0.951765,0.951467,MinkowskiDistance075
5,0.8395,0.8395,0.017833,0.982167,0.841237,0.839259,MinkowskiDistance075
5,0.9735,0.9735,0.002944,0.997056,0.973867,0.973484,MinkowskiDistance075
8,0.552,0.552,0.049778,0.950222,0.547599,0.546699,MinkowskiDistance075
9,0.9785,0.9785,0.002389,0.997611,0.979006,0.978539,MinkowskiDistance075
13,0.827,0.827,0.019222,0.980778,0.825237,0.82565,MinkowskiDistance075
3,0.983452,0.983394,0.00184,0.99816,0.983857,0.983487,MinkowskiDistance075
4,0.960168,0.74634,0.052012,0.947988,0.845216,0.788954,MinkowskiDistance075
